,Title_job,Job_link,Company_link,Address,Salary,date
0,Backend Engineer (PHP/NodeJS/C#/Ruby/Go),/it-jobs/backend-engineer-php-nodejs-c-ruby-go-money-forward-vietnam-co-ltd-5318,/companies/money-forward-vietnam-co-ltd,Ho Chi Minh,"1,000 - 2,500 USD",08/30/2021
1,"DevOps Engineer (AWS, Cloud)",/it-jobs/devops-engineer-aws-cloud-cloud-technology-2846,/companies/cloud-technology,Ho Chi Minh,You'll love it,08/30/2021
2,3x iOS Developer (Swift/ObjC),/it-jobs/3x-ios-developer-swift-objc-relia-systems-3011,/companies/relia-systems,Ho Chi Minh,You'll love it,08/30/2021
3,VP Of Engineering,/it-jobs/vp-of-engineering-katalon-3202,/companies/katalon,Ho Chi Minh,You'll love it,08/30/2021
4, Remote Fulltime Full Stack Engineer,/it-jobs/senior-fullstack-engineer-java-reactjs-slice-commerce-network-pte-ltd-2841,/companies/slice-commerce-network-pte-ltd,Ho Chi Minh,"2,000 - 4,000 USD",08/30/2021
5,Java Engineer (Spring/SQL/JavaEE),/it-jobs/senior-java-engineer-spring-sql-javaee-hansen-technologies-3207,/companies/hansen-technologies,Ho Chi Minh,You'll love it,08/30/2021
6,Lead Software Developer (Java/SQL),/it-jobs/lead-software-developer-java-sql-hansen-technologies-2946,/companies/hansen-technologies,Ho Chi Minh,You'll love it,08/30/2021
7,Fullstack-PHP Laravel ( 2 năm+),/it-jobs/fullstack-php-laravel-2-nam-dung-mori-5339,/companies/dung-mori,Ha Noi,"900 - 1,300 USD",08/30/2021
8,"Fullstack .NET Engineer (C#, ReactJS)",/it-jobs/fullstack-net-engineer-c-reactjs-evehr-5612,/companies/evehr,Ho Chi Minh,You'll love it,08/30/2021
9,"Backend Dev (Ruby on Rails, PostgreSQL)",/it-jobs/backend-dev-ruby-on-rail-postgressql-fiahub-0415,/companies/fiahub,Ho Chi Minh,"1,500 - 3,000 USD",08/30/2021
10,Sr/Jr Dev (ReactJS/ReactNative/NodeJS),/it-jobs/sr-jr-dev-reactjs-reactnative-nodejs-zigvy-4929,/companies/zigvy,Ho Chi Minh,"Negotiable & up to $1,200",08/30/2021
11,"Automation QA/QC/Tester (Java, Selenium)",/it-jobs/automation-qa-qc-tester-java-selenium-titan-technology-corporation-0435,/companies/titan-technology-corporation,Ho Chi Minh,You'll love it,08/30/2021
12,Middle Android Dev [Attractive Salary],/it-jobs/middle-android-dev-attractive-salary-ivc-isb-vietnam-0927,/companies/ivc-isb-vietnam,Ho Chi Minh,Attractive salary,08/30/2021
13,Scrum Master,/it-jobs/scrum-master-tymeglobal-5750,/companies/tymeglobal,Ho Chi Minh,You'll love it,08/30/2021
14,Business Analyst,/it-jobs/business-analyst-nstep-4437,/companies/nstep,Ha Noi,"1,000 - 2,200 USD",08/30/2021
15,"Sr Fullstack (NodeJS, Angular) ~ $3500",/it-jobs/sr-fullstack-nodejs-angular-3500-vinhms-3025,/companies/vinhms,Ha Noi,Up to $3500,08/30/2021
16,"Frontend Engineer (JavaScript, VueJS)",/it-jobs/frontend-engineer-javascript-vuejs-pizza-hut-digital-ventures-2125,/companies/pizza-hut-digital-ventures,Ho Chi Minh,Attractive salary,08/30/2021
17,PHP Drupal Developer (Full 13th Salary),/it-jobs/php-drupal-developer-full-13th-salary-sutrix-solutions-1424,/companies/sutrix-solutions,Ho Chi Minh,You'll love it,08/30/2021
18,(Senior/Junior) .NET Developers (C#),/it-jobs/senior-junior-net-developers-c-carptech-1012,/companies/carptech,Ho Chi Minh,You'll love it,08/30/2021
19,Frontend Developer- JavaScript/HTML5/CSS,/it-jobs/frontend-developer-javascript-html5-css-capgemini-vietnam-1347,/companies/capgemini-vietnam,Ho Chi Minh,You'll love it,08/30/2021
20,Senior Manual Tester (QA QC/English),/it-jobs/senior-manual-tester-qa-qc-english-capgemini-vietnam-1453,/companies/capgemini-vietnam,Ho Chi Minh,You'll love it,08/30/2021
21,.NET Dev (Senior/Middle) @Signing Bonus,/it-jobs/net-dev-senior-middle-signing-bonus-green-global-1135,/companies/green-global,Ho Chi Minh,You'll love it,08/30/2021
22,Tester (QA QC),/it-jobs/tester-qa-qc-ekino-vietnam-3349,/companies/ekino-vietnam,Da Nang,Attractive salary!,08/30/2021
23,"Tester(QA, Automation Test) ~ Upto 1000$",/it-jobs/tester-qa-automation-test-upto-1000-viettel-media-3421,/companies/viettel-media,Ho Chi Minh,Lương cao thỏa thuận ,08/30/2021
24,"[HN] Java Developer (Spring, J2EE)",/it-jobs/java-developer-spring-j2ee-nec-vietnam-3016,/companies/nec-vietnam,Ha Noi,"500 - 1,500 USD",08/30/2021
25,"Junior JAVA Engineer (JAVA, English)",/it-jobs/junior-java-engineer-java-english-adnovum-vietnam-5719,/companies/adnovum-vietnam,Ha Noi,You'll love it,08/30/2021
