,Title_job,Job_link,Company_link,Address,Salary,date
0,Mobile Dev(iOS/Android/React Native),/it-jobs/mobile-dev-ios-android-react-native-hdwebsoft-5709,/companies/hdwebsoft,Ho Chi Minh,Negotiable salary,09/15/2021
1,"Frontend Developer (JavaScript, ReactJS)",/it-jobs/frontend-developer-javascript-reactjs-mgm-technology-partners-vietnam-3347,/companies/mgm-technology-partners-vietnam,Da Nang,You will love it,09/15/2021
2,"Data Engineer (Python, AWS) All levels",/it-jobs/data-engineer-lead-senior-middle-onpoint-1024,/companies/onpoint,Ho Chi Minh,"800 - 2,500 USD",09/15/2021
3,Backend Dev (Python/Ruby/Any language),/it-jobs/backend-dev-python-ruby-any-language-onpoint-0420,/companies/onpoint,Ho Chi Minh,"1,000 - 2,500 USD",09/15/2021
4,IT Team Leader – Ewallet Project (Java),/it-jobs/it-team-leader-ewallet-project-java-vnpt-epay-5616,/companies/vnpt-epay,Ha Noi,"1,500 - 2,000 USD",09/15/2021
5,Product Manager (Merchant),/it-jobs/product-manager-merchant-taptap-4454,/companies/taptap,Ho Chi Minh,You'll love it,09/15/2021
6,IT - Technical Writer,/it-jobs/it-technical-writer-ngan-hang-a-chau-acb-3957,/companies/ngan-hang-a-chau-acb,Ho Chi Minh,You'll love it,09/15/2021
7,Java Developers,/it-jobs/java-developer-augen-vietnam-3205,/companies/augen-vietnam,Ho Chi Minh,"1,000 - 3,000 USD",09/15/2021
8,Sn IT Support/System Admin Server ~ 28M,/it-jobs/senior-it-support-server-up-to-28m-cmc-global-5400,/companies/cmc-global,Ho Chi Minh,Up to 28m,09/15/2021
9,Senior IT Support - Desktop ~ 28M,/it-jobs/senior-it-support-desktop-28m-cmc-global-0410,/companies/cmc-global,Ho Chi Minh,Up to 28m,09/15/2021
10,Senior IT Support - Networking ~ 28M,/it-jobs/senior-it-support-networking-28m-cmc-global-0716,/companies/cmc-global,Ho Chi Minh,Up to 28m,09/15/2021
11,Fullstack Developer (Java/Angular) ~45M,/it-jobs/fullstack-developer-java-angular-45m-cmc-global-2150,/companies/cmc-global,Ho Chi Minh,Up to 45m,09/15/2021
12,"Data Engineer (Python, C++, SQL) ~ 45M",/it-jobs/data-engineer-python-c-sql-45m-cmc-global-2649,/companies/cmc-global,Ho Chi Minh,Up to 45m,09/15/2021
13,"Java Developer (Spring, J2EE) Up to 45M",/it-jobs/java-developer-spring-j2ee-up-to-45m-cmc-global-3135,/companies/cmc-global,Ho Chi Minh,Up to 45m,09/15/2021
14,Senior PySpark Engineer (Python) ~ 45M,/it-jobs/senior-pyspark-engineer-python-45m-cmc-global-3735,/companies/cmc-global,Ho Chi Minh,Up to 45m,09/15/2021
15,Development Manager,/it-jobs/development-manager-positive-thinking-company-b-o-t-3305,/companies/positive-thinking-company-b-o-t,Ho Chi Minh,Attractive packages,09/15/2021
