,Title_job,Job_link,Company_link,Address,Salary,date
0,Project Manager/Delivery Manager,/it-jobs/technical-project-manager-blockchain-metasource-3741,/companies/metasource,Ho Chi Minh,"3,000 - 4,500 USD",8/27/2021
1,Odoo Developer (Python),/it-jobs/odoo-developer-python-teko-vietnam-4705,/companies/teko-vietnam,Ho Chi Minh,You'll love it,8/27/2021
2,"QA Engineer (Tester, QA QC)",/it-jobs/qa-engineer-tester-qa-qc-nakivo-2449,/companies/nakivo,Ho Chi Minh,"1,100 - 1,300 USD",8/27/2021
3,SQL Developer (Database),/it-jobs/sql-developer-database-ekino-vietnam-0919,/companies/ekino-vietnam,Ho Chi Minh,Attractive salary!,8/27/2021
4,"Database Engineer (SQL, My SQL, NoSQL)",/it-jobs/database-engineer-sql-my-sql-nosql-live-group-2755,/companies/live-group,Ho Chi Minh,You'll love it,8/27/2021
5,"Mobile App Developer (iOS, Android)",/it-jobs/mobile-app-developer-ios-android-oneblock-labs-5947,/companies/oneblock-labs,Ho Chi Minh,"750 - 1,500 USD",8/27/2021
6,Senior JAVA Developer (SIGNING BONUS),/it-jobs/senior-java-developer-signing-bonus-zamo-0443,/companies/zamo,Ho Chi Minh,"1,500 - 2,500 USD",8/27/2021
7,Senior NodeJs Developer,/it-jobs/senior-nodejs-developer-waverley-software-5328,/companies/waverley-software,Ho Chi Minh,"1,200 - 2,400 USD",8/27/2021
8,".NET Developer (C#, ASP.NET)",/it-jobs/net-developer-c-asp-net-hansen-technologies-0500,/companies/hansen-technologies,Ho Chi Minh,You'll love it,8/27/2021
9,Senior QA Engineer (Javascript/ Java),/it-jobs/senior-qa-engineer-javascript-java-shopback-3503,/companies/shopback,Ho Chi Minh,Salary & stock options,8/27/2021
10,DevOps Engineer (Linux/English),/it-jobs/devops-engineer-linux-english-hansen-technologies-1049,/companies/hansen-technologies,Ho Chi Minh,You'll love it,8/27/2021
11,Senior Mobile Developer (React Native),/it-jobs/senior-mobile-developer-react-native-infinity-blockchain-labs-ibl-3916,/companies/infinity-blockchain-labs-ibl,Ho Chi Minh,"1,300 - 2,500 USD",8/27/2021
12,"1+ năm Business Analyst (Tester, QA QC)",/it-jobs/1-nam-business-analyst-tester-qa-qc-ite-1920,/companies/ite,Ha Noi,Up to 20m,8/27/2021
13,Senior Java Engineer (IAM),/it-jobs/java-engineers-principal-lead-senior-nab-in-collaboration-with-positive-thinking-company-in-vietnam-3557,/companies/nab-in-collaboration-with-positive-thinking-company-in-vietnam,Ho Chi Minh,Very competitive,8/27/2021
14,Senior Front-end (Angular/Vue),/it-jobs/senior-front-end-angular-vue-dirox-0502,/companies/dirox,Ho Chi Minh,Up to $2000,8/27/2021
15,"Data Analyst_Python, SQL (1500-2000$)",/it-jobs/data-analyst_python-sql-1500-2000-larion-4158,/companies/larion,Ho Chi Minh,"1,500 - 2,000 USD",8/27/2021
16,"15 Java Dev (SQL, Oracle) - Up to $1500",/it-jobs/15-java-dev-sql-oracle-up-to-1500-telsoft-jsc-2024,/companies/telsoft-jsc,Ha Noi,"500 - 1,500 USD",8/27/2021
17,"Backend Developer (Python, Django)",/it-jobs/backend-developer-python-django-dek-technologies-4904,/companies/dek-technologies,Ho Chi Minh,You'll love it,8/27/2021
18,Saleforce Developer (Fresher Welcomed),/it-jobs/saleforce-developer-fresher-welcomed-aodigy-3013,/companies/aodigy,Da Nang,500 - 700 USD,8/27/2021
19,Python Engineers (Plus C# and AWS),/it-jobs/python-engineers-plus-c-and-aws-wizeline-4715,/companies/wizeline,Ho Chi Minh,You'll love it,8/27/2021
20,Senior Backend Engineer (Golang/Java),/it-jobs/senior-backend-engineer-golang-java-vinid-a-member-of-one-mount-group-5826,/companies/vinid-a-member-of-one-mount-group,Ho Chi Minh,"1,000 - 2,500 USD",8/27/2021
21,"Tester (My SQL, Oracle, MongoDB)",/it-jobs/tester-my-sql-oracle-mongodb-viettel-group-3833,/companies/viettel-group,Ha Noi,"900 - 2,200 USD",8/27/2021
22,Presales (Business Analyst),/it-jobs/pre-sales-ky-su-giai-phap-infomed-viet-nam-jsc-3235,/companies/infomed-viet-nam-jsc,Ha Noi,You'll love it,8/27/2021
23,Senior Back-End Engineer (NodeJS),/it-jobs/sr-back-end-engineer-nodejs-php-mysql-c2c-tech-hub-1006,/companies/c2c-tech-hub,Ha Noi,"1,500 - 2,500 USD",8/27/2021
24,Web Developer (PHP/C#/MySQL),/it-jobs/web-developer-php-c-mysql-cisbox-0240,/companies/cisbox,Ho Chi Minh,"1,000 - 2,000 USD",8/27/2021
25,Junior QC/Tester,/it-jobs/junior-qc-tester-template-net-1534,/companies/template-net,Ho Chi Minh,You'll love it,8/27/2021
26,ERP Project Manager (up to $2500),/it-jobs/urgent-erp-project-manager-1000-2500-vsd-holdings-4618,/companies/vsd-holdings,Ho Chi Minh,Up to $2500,8/27/2021
27,"Solution Architect (Java, AWS, Spring)",/it-jobs/solution-architect-java-star-global-0529,/companies/star-global,Ho Chi Minh,Match with your expertise,8/27/2021
28,Infrastructure/DevOps Specialist,/it-jobs/infrastructure-devops-specialist-niteco-vietnam-co-ltd-4927,/companies/niteco-vietnam-co-ltd,Ha Noi,You'll love it,8/27/2021
