,Title_job,Job_link,Company_link,Address,Salary,date
0,Sr QA Engineer (Tester/Java) up to $2000,/it-jobs/sr-qa-engineer-tester-java-up-to-2000-absolute-software-vietnam-ltd-3926,/companies/absolute-software-vietnam-ltd,Ho Chi Minh,You'll love it,08/13/2021
1,Java Software Engineer (Spring),/it-jobs/java-software-engineer-spring-absolute-software-vietnam-ltd-3757,/companies/absolute-software-vietnam-ltd,Ho Chi Minh,Attractive!!!,08/13/2021
2,Junior Tester (QA QC) ,/it-jobs/junior-tester-qa-qc-precio-fishbone-vietnam-1119,/companies/precio-fishbone-vietnam,Ho Chi Minh,"550 - 1,200 USD",08/13/2021
3,Junior Maintenance Support Engineer,/it-jobs/junior-maintenance-support-engineer-precio-fishbone-vietnam-0035,/companies/precio-fishbone-vietnam,Ho Chi Minh,"550 - 1,200 USD",08/13/2021
4,Python / Odoo Developer (PostgreSQL) ,/it-jobs/python-odoo-developer-postgresql-nissho-electronics-3728,/companies/nissho-electronics,Ha Noi,"700 - 1,500 USD",08/13/2021
5,"Data Scientist (Python, SQL)",/it-jobs/data-scientist-python-sql-nissho-electronics-3339,/companies/nissho-electronics,Ha Noi,18m - 35m,08/13/2021
6,Product Owner (Up to 2000) - HCM,/it-jobs/product-owner-up-to-2000-hcm-okxe-1051,/companies/okxe,Ho Chi Minh,"1,500 - 2,000 USD",08/13/2021
7,iOS Developer ( Swift)- Up to 2000$,/it-jobs/ios-developer-swift-up-to-2000-okxe-1436,/companies/okxe,Ha Noi,"700 - 2,000 USD",08/13/2021
8,"02 PHP Developers (Laravel, Angular)",/it-jobs/php-developers-laravel-angular-cloud-nine-solutions-5219,/companies/cloud-nine-solutions,Ho Chi Minh,You'll love it,08/13/2021
9,"Python Developer (PHP, Django, Laravel)",/it-jobs/python-developer-php-django-cloud-nine-solutions-5521,/companies/cloud-nine-solutions,Ho Chi Minh,You'll love it,08/13/2021
10,DevOps System (AWS/ Azure/ Cloud),/it-jobs/devops-system-aws-azure-cloud-sutrix-solutions-1435,/companies/sutrix-solutions,Ho Chi Minh,"800 - 2,000 USD",08/13/2021
11,"Test Lead (QA/QC, Agile)",/it-jobs/tester-team-leader-qa-qc-agile-advesa-digital-solutions-0504,/companies/advesa-digital-solutions,Ho Chi Minh,"1,200 - 1,700 USD",08/13/2021
12,Fresher / Junior Dev (.NET / JavaScript),/it-jobs/fresher-jr-net-developer-asp-net-c-grapecity-0420,/companies/grapecity,Ha Noi,"700 - 1,500 USD",08/13/2021
13,02 UI-UX designer (Mobile app),/it-jobs/mobile-app-ui-ux-designer-tower-hanoi-4254,/companies/tower-hanoi,Ha Noi,500 - 800 USD,08/13/2021
14,Web Developer (.NET/Angular/JavaScript),/it-jobs/web-developer-net-angular-javascript-vietnam-ips-software-0822,/companies/vietnam-ips-software,Ha Noi,You'll love it,08/13/2021
15,NodeJS Developer,/it-jobs/nodejs-developer-new-pinetech-0026,/companies/new-pinetech,Da Nang,You'll love it,08/13/2021
16,Hot Job - IT Product Owner,/it-jobs/hot-job-it-product-owner-ngan-hang-a-chau-acb-3614,/companies/ngan-hang-a-chau-acb,Ho Chi Minh,"1,500 - 2,500 USD",08/13/2021
17,Graphic Designer up to $1000,/it-jobs/graphic-designer-up-to-1000-nexcel-solutions-4902,/companies/nexcel-solutions,Ho Chi Minh,Up to $1000,08/13/2021
18,"10 Java Backend Developers (Spring, SQL)",/it-jobs/10-java-backend-developers-spring-sql-goline-corporation-0640,/companies/goline-corporation,Ho Chi Minh,You'll love it,08/13/2021
19,Engineering Manager (Sign-On Bonus),/it-jobs/engineering-manager-backend-frontend-shopback-4518,/companies/shopback,Ha Noi,Salary & stock options,08/13/2021
20,Digital Platform Solutions Tester,/it-jobs/digital-platform-solutions-tester-vietnam-international-bank-vib-5208,/companies/vietnam-international-bank-vib,Ho Chi Minh,You'll love it,08/13/2021
21,Automation Engineer,/it-jobs/automation-engineer-cybozu-vietnam-3136,/companies/cybozu-vietnam,Ho Chi Minh,You'll love it,08/13/2021
22,Software QA Engineer (Manual),/it-jobs/software-qa-engineer-manual-cybozu-vietnam-3004,/companies/cybozu-vietnam,Ho Chi Minh,You'll love it,08/13/2021
23,Full-stack Web Developer- PHP/JavaScript,/it-jobs/full-stack-web-developer-php-javascript-cybozu-vietnam-2752,/companies/cybozu-vietnam,Ho Chi Minh,You'll love it,08/13/2021
24,Database/System Administrator (MySQL),/it-jobs/database-system-administrator-mysql-digi-texx-vietnam-1806,/companies/digi-texx-vietnam,Ho Chi Minh,"1,000 - 2,000 USD",08/13/2021
25,Digital Solution Developer,/it-jobs/digital-solution-developer-vietnam-international-bank-vib-5935,/companies/vietnam-international-bank-vib,Ho Chi Minh,You'll love it,08/13/2021
26,Senior Web Developer,/it-jobs/senior-web-developer-east-agile-4809,/companies/east-agile,Ho Chi Minh,"1,500 - 3,000 USD",08/13/2021
