,Title_job,Job_link,Company_link,Address,Salary,date
0,".NET Developer (C#, ASP.NET, .NET Core)",/it-jobs/net-developer-c-asp-net-mvc-bstar-solutions-5514,/companies/bstar-solutions,Ho Chi Minh,Negotiable,10/01/2021
1,Technical Lead (Up to $3000),/it-jobs/technical-lead-up-to-3000-ffw-vietnam-2332,/companies/ffw-vietnam,Ha Noi,You'll love it,10/01/2021
2,Product Owner (SaaS/ Product Manager),/it-jobs/product-owner-saas-product-manager-haravan-0907,/companies/haravan,Ho Chi Minh,You'll love it,10/01/2021
3,Senior Java Developer (Spring),/it-jobs/senior-java-developer-spring-opswat-software-vietnam-2644,/companies/opswat-software-vietnam,Ho Chi Minh,You'll love it,10/01/2021
4,QC/QA/Tester (Agile),/it-jobs/qc-qa-tester-agile-opswat-software-vietnam-2955,/companies/opswat-software-vietnam,Ho Chi Minh,You'll love it,10/01/2021
5,"C++ Developer (Windows, Linux, Qt)",/it-jobs/c-developer-windows-linux-qt-opswat-software-vietnam-3101,/companies/opswat-software-vietnam,Ho Chi Minh,You'll love it,10/01/2021
6,Business Analyst (Product),/it-jobs/business-analyst-product-athena-studio-4933,/companies/athena-studio,Ho Chi Minh,You'll love it,10/01/2021
7,Software Development Leader,/it-jobs/software-development-leader-aswhite-vietnam-4723,/companies/aswhite-vietnam,Ho Chi Minh,Very attractive (bonus),10/01/2021
8,"Cloud Engineers (Python, Linux)",/it-jobs/cloud-engineers-python-linux-dek-technologies-0302,/companies/dek-technologies,Ho Chi Minh,You'll love it,10/01/2021
9,"Front End Engineer (React JS, AngularJS)",/it-jobs/front-end-engineer-react-js-angularjs-vinbrain-5304,/companies/vinbrain,Ho Chi Minh,You'll love it,10/01/2021
10,"Software Engineer (NodeJS,Javascript)",/it-jobs/software-engineer-nodejs-javascript-cong-ty-co-phan-tap-doan-meey-land-1544,/companies/cong-ty-co-phan-tap-doan-meey-land,Ha Noi,"1,000 - 2,500 USD",10/01/2021
11,"[Urgent] .NET Developer (C#, SQL)",/it-jobs/urgent-net-developer-c-sql-hoang-duc-pharmaceutical-and-medical-supplies-2118,/companies/hoang-duc-pharmaceutical-and-medical-supplies,Ha Noi,You'll love it,10/01/2021
12,Product Owner,/it-jobs/product-owner-one-mount-group-1946,/companies/one-mount-group,Ho Chi Minh,You'll love it,10/01/2021
13,Senior Information Security,/it-jobs/senior-information-security-techcombank-4047,/companies/techcombank,Ha Noi,You'll love it,10/01/2021
14,IT - Big Data Engineer,/it-jobs/it-big-data-engineer-ngan-hang-a-chau-acb-3016,/companies/ngan-hang-a-chau-acb,Ha Noi,You'll love it,10/01/2021
15,15 Fullstack PHP/ Python/ Java,/it-jobs/15-fullstack-php-python-java-tap-hospitality-vietnam-0651,/companies/tap-hospitality-vietnam,Ho Chi Minh,"500 - 1,500 USD",10/01/2021
16,"PHP Developer (Laravel, MySQL)",/it-jobs/php-developer-laravel-mysql-vietlink-3229,/companies/vietlink,Ha Noi,You'll love it,10/01/2021
17,Fullstack Developer (Java/ NodeJS/VueJS),/it-jobs/fullstack-developer-java-nodejs-vuejs-ivs-4051,/companies/ivs,Ho Chi Minh,Up to 1500$,10/01/2021
18,"Manual Tester (QC, Web)",/it-jobs/manual-tester-qc-web-dek-technologies-3606,/companies/dek-technologies,Ho Chi Minh,You'll love it,10/01/2021
19,Frontend Dev (JavaScript/HTML/CSS)~$1800,/it-jobs/frontend-dev-javascript-html-css-1800-ewoosoft-vietnam-3924,/companies/ewoosoft-vietnam,Ho Chi Minh,Up to $1800,10/01/2021
20,Java Developer (Mid/Sen/Teamlead),/it-jobs/java-developer-mid-sen-teamlead-ascend-4109,/companies/ascend,Ha Noi,Up to $2500 + negotiable,10/01/2021
21,"NodeJS Dev (Cloud, JavaScript) Upto$2500",/it-jobs/nodejs-dev-cloud-reactjs-up-to-2500-ewoosoft-vietnam-1559,/companies/ewoosoft-vietnam,Ha Noi,Up to $2500,10/01/2021
22,Senior Business Analyst,/it-jobs/senior-business-analyst-blue-belt-technology-2639,/companies/blue-belt-technology,Ha Noi,"1,200 - 1,800 USD",10/01/2021
23,"Sr Data Scientist (Java, Python, Scala)",/it-jobs/sr-data-scientist-java-python-scala-zalora-group-5054,/companies/zalora-group,Ha Noi,Competitive,10/01/2021
24,Senior Fullstack Engineer (Java/Python),/it-jobs/senior-full-stack-engineer-zuhlke-engineering-ltd-2552,/companies/zuhlke-engineering-ltd,Ho Chi Minh,You'll love it,10/01/2021
25,"PHP Developer (JavaScript, MySQL)",/it-jobs/php-developer-javascript-mysql-vuihoc-vn-2042,/companies/vuihoc-vn,Ho Chi Minh,13 - 20 triệu,10/01/2021
26,Infrastructure Security Operation,/it-jobs/infrastructure-security-operation-techcombank-3555,/companies/techcombank,Ha Noi,You'll love it,10/01/2021
27,QA QC Tester,/it-jobs/qa-qc-tester-global-vertical-innovations-llc-1010,/companies/global-vertical-innovations-llc,Ha Noi,"800 - 1,500 USD",10/01/2021
28,"Automation System Tester (QA/QC, Linux)",/it-jobs/automation-system-tester-qa-qc-linux-dek-technologies-4842,/companies/dek-technologies,Ho Chi Minh,You'll love it,10/01/2021
29,Backend Dev(.Net/ Java/ Golang) ~ $2000,/it-jobs/backend-dev-net-java-golang-2000-savvycom-0505,/companies/savvycom,Ho Chi Minh,Up to 2000$,10/01/2021
30,R&D Dept. Manager ,/it-jobs/r-d-dept-manager-cloud-cong-ty-co-phan-htc-vien-thong-quoc-te-1955,/companies/cong-ty-co-phan-htc-vien-thong-quoc-te,Ha Noi,You'll love it,10/01/2021
31,Back-end Developers (PHP/Java/Python),/it-jobs/back-end-developers-php-java-python-rakumo-co-ltd-4414,/companies/rakumo-co-ltd,Ha Noi,"800 - 1,500 USD",10/01/2021
32,iOS Developer (Swift),/it-jobs/ios-developer-specialized-in-back-end-rakumo-co-ltd-0210,/companies/rakumo-co-ltd,Ho Chi Minh,"800 - 2,000 USD",10/01/2021
33,"Senior Java Developer (Spring, Kotlin)",/it-jobs/senior-java-developer-spring-kotlin-viaconto-co-ltd-1542,/companies/viaconto-co-ltd,Ho Chi Minh,"2,500 - 3,000 USD",10/01/2021
34,10 Java Backend Developer (20 - 40M),/it-jobs/10-java-backend-developer-20-40m-cong-ty-co-phan-chung-khoan-vps-0852,/companies/cong-ty-co-phan-chung-khoan-vps,Ho Chi Minh,"1,000 - 2,000 USD",10/01/2021
35,10 .NET Backend Developer (C#) 20 - 40M ,/it-jobs/10-net-backend-developer-c-20-40m-cong-ty-co-phan-chung-khoan-vps-2922,/companies/cong-ty-co-phan-chung-khoan-vps,Ha Noi,"1,000 - 2,000 USD",10/01/2021
36,"NodeJS Developer (JavaScript, Angular)",/it-jobs/nodejs-developer-javascript-angular-imip-technology-and-solution-consultancy-2628,/companies/imip-technology-and-solution-consultancy,Ha Noi, high salary ,10/01/2021
37,Android Developer,/it-jobs/android-developer-samsung-electronics-hcmc-ce-complex-4908,/companies/samsung-electronics-hcmc-ce-complex,Ha Noi,You'll love it,10/01/2021
38,".NET Developer (VB.NET, C#, ASP.NET MVC)",/it-jobs/net-developer-vb-net-c-asp-net-mvc-saritasa-2222,/companies/saritasa,Ho Chi Minh,"1,000 - 1,500 USD",10/01/2021
39,Middle/Senior DevOps Engineer,/it-jobs/middle-senior-devops-engineer-deliveree-on-demand-logistics-2629,/companies/deliveree-on-demand-logistics,Ho Chi Minh,You'll love it !,10/01/2021
40,(Senior) Automation Tester,/it-jobs/senior-automation-tester-tiki-corporation-1717,/companies/tiki-corporation,Ho Chi Minh,You'll love it,10/01/2021
41,Senior Java Developer,/it-jobs/fresher-java-net-tester-elca-1653,/companies/elca,Ho Chi Minh,You'll love it,10/01/2021
42,Back-end engineer (C++),/it-jobs/back-end-engineer-c-geniee-vietnam-3900,/companies/geniee-vietnam,Ho Chi Minh,"800 - 1,500 USD",10/01/2021
43,Java Developer,/it-jobs/java-developer-up-to-1500-incepit-3933,/companies/incepit,Ha Noi,"800 - 2,000 USD",10/01/2021
44,Sr Ruby on Rails Engineer - BONUS,/it-jobs/sr-ruby-on-rails-reactjs-aws-bonus-kms-technology-3042,/companies/kms-technology,Ho Chi Minh,You'll love it,10/01/2021
45,"Software Developer (Linux, Networking)",/it-jobs/software-developer-linux-networking-dek-technologies-3226,/companies/dek-technologies,Ho Chi Minh,You'll love it,10/01/2021
46,"Devops Engineer (Azure, AWS)",/it-jobs/devops-engineer-azure-aws-the-rep-office-of-styl-solutions-pte-ltd-in-hcmc-3207,/companies/the-rep-office-of-styl-solutions-pte-ltd-in-hcmc,Da Nang,"500 - 1,500 USD",10/01/2021
47,Senior/Junior DevOps Engineer,/it-jobs/senior-junior-devops-engineer-waverley-software-3948,/companies/waverley-software,Ho Chi Minh,"800 - 3,000 USD",10/01/2021
48,Backend Developer (Python/NodeJS),/it-jobs/backend-developer-python-nodejs-golang-kyanon-digital-5717,/companies/kyanon-digital,Ho Chi Minh,You'll love it,10/01/2021
49,Senior Frontend Dev (React/ Angular/Vue),/it-jobs/senior-frontend-dev-react-angular-vue-waverley-software-4749,/companies/waverley-software,Others,"1,200 - 2,600 USD",10/01/2021
50,"Software Developer (C++, Golang) Upto40M",/it-jobs/software-developer-c-golang-upto40m-armor-2624,/companies/armor,Ho Chi Minh,14.000.000 - 40.000.000,10/01/2021
51,Senior Front-End Developer (ReactJS),/it-jobs/senior-front-end-developer-reactjs-one-mount-group-2542,/companies/one-mount-group,Ho Chi Minh,You'll love it,10/01/2021
52,Business Analyst (QA QC),/it-jobs/business-analyst-ihouzz-tech-3019,/companies/ihouzz-tech,Ho Chi Minh,"1,000 - 1,200 USD",10/01/2021
53,QA Engineer,/it-jobs/qa-engineer-skedulo-vietnam-1756,/companies/skedulo-vietnam,Ho Chi Minh,"1,200 - 2,500 USD",10/01/2021
54, Mobile Developer (React Native) ~ 1300$,/it-jobs/mobile-developer-react-native-1300-cmc-technology-solution-1021,/companies/cmc-technology-solution,Ha Noi,"700 - 1,300 USD",10/01/2021
55,"Developer (Python, PHP, Java)",/it-jobs/software-dev-python-php-html-wvb-vietnam-4039,/companies/wvb-vietnam,Ho Chi Minh,Mức lương hấp dẫn,10/01/2021
56,"FullStack Dev.(Nodejs, Reactjs, GraphQL)",/it-jobs/fullstack-dev-nodejs-reactjs-graphql-kompa-0123,/companies/kompa,Ho Chi Minh,You'll love it,10/01/2021
57,"Junior DevOps Engineer (Python, Linux)",/it-jobs/junior-devops-engineer-aws-python-opswat-software-vietnam-4759,/companies/opswat-software-vietnam,Ha Noi,You'll love it,10/01/2021
58,Mobile Dev(iOS/Android/React Native),/it-jobs/mobile-dev-ios-android-react-native-hdwebsoft-5709,/companies/hdwebsoft,Ha Noi,Negotiable salary,10/01/2021
59,.NET Developer,/it-jobs/net-developer-vietnam-international-bank-vib-4502,/companies/vietnam-international-bank-vib,Ho Chi Minh,You'll love it,10/01/2021
60,DevOps Engineer AWS/Azure (HCM & Ha Noi),/it-jobs/devops-engineer-aws-azure-hcm-ha-noi-nab-in-collaboration-with-positive-thinking-company-in-vietnam-1645,/companies/nab-in-collaboration-with-positive-thinking-company-in-vietnam,Ho Chi Minh,You'll love it,10/01/2021
61,Senior PySpark Engineer (Python) ~ 45M,/it-jobs/senior-pyspark-engineer-python-45m-cmc-global-3735,/companies/cmc-global,Ho Chi Minh,Up to 45m,10/01/2021
62,Remote - Web Dev (Python/Java/ReactJS),/it-jobs/remote-web-dev-python-java-reactjs-yrglm-viet-nam-0222,/companies/yrglm-viet-nam,Ho Chi Minh,Upto 2000$ (gross),10/01/2021
63,"Data Engineer (Python, C++, SQL) ~ 45M",/it-jobs/data-engineer-python-c-sql-45m-cmc-global-2649,/companies/cmc-global,Ho Chi Minh,Up to 45m,10/01/2021
