,Title_job,Job_link,Company_link,Address,Salary,date
0,Backend Developer (NodeJS) - All level,/it-jobs/backend-developer-nodejs-all-level-innotech-vietnam-corporation-5613,/companies/innotech-vietnam-corporation,Ho Chi Minh,You'll love it,09/22/2021
1,.NET Engineer (C#),/it-jobs/net-engineer-c-kms-solutions-2032,/companies/kms-solutions,Ha Noi,You'll love it,09/22/2021
2,Java Full-stack Leader,/it-jobs/senior-java-developer-positive-thinking-company-b-o-t-2903,/companies/positive-thinking-company-b-o-t,Ho Chi Minh,You'll love it,09/22/2021
3,Senior/Medior .NET Engineer (ASP.NET/C#),/it-jobs/senior-medior-net-engineer-positive-thinking-company-b-o-t-1315,/companies/positive-thinking-company-b-o-t,Ho Chi Minh,You'll love it,09/22/2021
4,Senior Java Developer,/it-jobs/senior-java-developer-viator-a-tripadvisor-company-in-partnership-with-positive-thinking-company-0533,/companies/viator-a-tripadvisor-company-in-partnership-with-positive-thinking-company,Ho Chi Minh,You'll love it,09/22/2021
5,Product Manager (Apps),/it-jobs/product-manager-apps-pizza-hut-digital-ventures-5334,/companies/pizza-hut-digital-ventures,Ho Chi Minh,Attractive salary,09/22/2021
6,"Senior Java Engineer (NodeJS, Spring)",/it-jobs/senior-java-engineer-nodejs-spring-v-key-pte-5129,/companies/v-key-pte,Ho Chi Minh,You'll love it,09/22/2021
7,02 Senior Automation QA Engineers,/it-jobs/02-senior-automation-qa-engineers-nvg-technology-1827,/companies/nvg-technology,Ho Chi Minh,"1,800 - 2,500 USD",09/22/2021
8,QA/QC Engineer (Tester),/it-jobs/qa-qc-engineer-tester-ninja-van-tech-lab-3607,/companies/ninja-van-tech-lab,Ho Chi Minh,You'll love it,09/22/2021
9,"5 Mobile Dev (Flutter, React Native)",/it-jobs/mobile-dev-react-native-ios-android-bao-hiem-vietinbank-vbi-4526,/companies/bao-hiem-vietinbank-vbi,Ho Chi Minh,You'll love it,09/22/2021
10,Frontend Developer (Angular/ReactJS),/it-jobs/frontend-developer-angular-reactjs-hitachi-vantara-5051,/companies/hitachi-vantara,Ha Noi,You'll love it,09/22/2021
11,"Developer( C#,PHP)",/it-jobs/developer-c-php-cong-nghe-giao-duc-thien-ha-xanh-4906,/companies/cong-nghe-giao-duc-thien-ha-xanh,Ha Noi,"500 - 1,000 USD",09/22/2021
12,Senior/ Mid Java Developer,/it-jobs/senior-mid-java-developer-hitachi-vantara-4818,/companies/hitachi-vantara,Da Nang,You'll love it,09/22/2021
13,"Sr Fullstack Developer (Java, ReactJS)",/it-jobs/sr-fullstack-developer-java-reactjs-viator-a-tripadvisor-company-in-partnership-with-positive-thinking-company-4211,/companies/viator-a-tripadvisor-company-in-partnership-with-positive-thinking-company,Ha Noi,You'll love it,09/22/2021
14,"Automation QA/QC (Selenium,API)",/it-jobs/automation-qa-qc-selenium-api-viator-a-tripadvisor-company-in-partnership-with-positive-thinking-company-4604,/companies/viator-a-tripadvisor-company-in-partnership-with-positive-thinking-company,Ha Noi,You'll love it,09/22/2021
15,Multimedia Designer,/it-jobs/multimedia-designer-asim-telecom-1243,/companies/asim-telecom,Da Nang,"800 - 1,200 USD",09/22/2021
16,Microsoft Dynamics Technical Consultant,/it-jobs/microsoft-dynamics-technical-consultant-fpt-software-4126,/companies/fpt-software,Ho Chi Minh,You'll love it,09/22/2021
17,Fullstack Dev(JS/NodeJS/Angular/Flutter),/it-jobs/fullstack-dev-js-nodejs-angular-flutter-bfast-system-0433,/companies/bfast-system,Ho Chi Minh,"800 - 1,600 USD",09/22/2021
