,Title_job,Job_link,Company_link,Address,Salary,date
0,Manual Tester,/it-jobs/manual-tester-ipfs-5547,/companies/ipfs,Ho Chi Minh,"700 - 1,400 USD",10/11/2021
1,QA QC/ Tester (All Levels) – Up to $1500,/it-jobs/qa-qc-tester-all-levels-up-to-1500-tps-software-0719,/companies/tps-software,Ho Chi Minh,Up to $1500,10/11/2021
2,Web Developer (Front-End),/it-jobs/web-developer-front-end-lotte-data-communicaton-co-ltd-vietnam-5715,/companies/lotte-data-communicaton-co-ltd-vietnam,Ha Noi,"1,000 - 1,200 USD",10/11/2021
3,ERP Developer,/it-jobs/erp-developer-lotte-data-communicaton-co-ltd-vietnam-5126,/companies/lotte-data-communicaton-co-ltd-vietnam,Ha Noi,"2,000 - 3,000 USD",10/11/2021
4,DevOps Manager (Up to $3500),/it-jobs/devops-manager-up-to-3500-home-credit-vietnam-4529,/companies/home-credit-vietnam,Ho Chi Minh,You'll love it,10/11/2021
5,Sr DevOps Engineer (Azure) ~ up to $3500,/it-jobs/sr-devops-engineer-azure-up-to-3500-home-credit-vietnam-2916,/companies/home-credit-vietnam,Ho Chi Minh,You'll love it,10/11/2021
6,"Javascript Developer (React,ReactNative)",/it-jobs/javascript-developer-react-reactnative-robert-bosch-engineering-and-business-solutions-5257,/companies/robert-bosch-engineering-and-business-solutions,Ho Chi Minh,You'll love it,10/11/2021
7,"03 Fullstack Devs (JavaScript, PHP, SQL)",/it-jobs/fullstack-devs-javascript-php-sql-xpon-digital-4949,/companies/xpon-digital,Ha Noi,"1,300 - 2,000 USD",10/11/2021
8,"Fullstack Dev (Java, JavaScript)",/it-jobs/fullstack-dev-java-javascript-mgm-technology-partners-vietnam-3436,/companies/mgm-technology-partners-vietnam,Da Nang,You will love it,10/11/2021
9,Manual Tester (Dự án Banking),/it-jobs/manual-tester-du-an-banking-ttc-solutions-2514,/companies/ttc-solutions,Ha Noi,"700 - 1,300 USD",10/11/2021
10,Senior Android Developer,/it-jobs/senior-android-developer-vnext-software-1912,/companies/vnext-software,Ha Noi,"1,000 - 1,500 USD",10/11/2021
11,Java Developer (HCM office or remote),/it-jobs/java-developer-hcm-office-or-remote-ubitec-0304,/companies/ubitec,Ho Chi Minh,You'll love it,10/11/2021
12,"5 Frontend Dev (JavaScript, ReactJS)",/it-jobs/senior-front-end-developer-js-reactjs-javac-technology-software-company-ltd-5313,/companies/javac-technology-software-company-ltd,Da Nang,You'll love it,10/11/2021
13,"Full-Stack Developer (Python, Django)",/it-jobs/full-stack-developer-python-django-one-tech-stop-vietnam-company-ltd-5610,/companies/one-tech-stop-vietnam-company-ltd,Ho Chi Minh,You'll love it,10/11/2021
14,"NodeJS Developer (JavaScript, SQL)",/it-jobs/nodejs-developer-javascript-sql-one-tech-stop-vietnam-company-ltd-0549,/companies/one-tech-stop-vietnam-company-ltd,Da Nang,You'll love it,10/11/2021
15,"Business Analyst (Agile, QA QC)",/it-jobs/business-analyst-agile-qa-qc-altisss-0949,/companies/altisss,Da Nang,Up to 2000$,10/11/2021
16,"Senior Software Engineer (Golang, PHP)",/it-jobs/senior-software-engineer-golang-php-epsilo-0500,/companies/epsilo,Ho Chi Minh,You'll love it!,10/11/2021
17,05 Fintech Backend Devs (C/C++/SQL),/it-jobs/05-fintech-backend-devs-c-c-sql-altisss-0849,/companies/altisss,Ho Chi Minh,Up to 1500$,10/11/2021
18,PHP Dev (Javascript/HTML5)~$2000,/it-jobs/php-dev-javascript-html5-2000-base-inc-0300,/companies/base-inc,Ho Chi Minh,Up to 2000$,10/11/2021
19,React Native (iOs/Android)~$2000,/it-jobs/react-native-ios-android-2000-base-inc-0052,/companies/base-inc,Ha Noi,Up to 2000$,10/11/2021
20,02 Game Designer,/it-jobs/02-game-designer-tower-hanoi-4126,/companies/tower-hanoi,Ha Noi,"500 - 1,000 USD",10/11/2021
21, IT Data Management Associate ~1000$,/it-jobs/it-data-management-associate-1000-techcombank-2504,/companies/techcombank,Ha Noi,Up to 1000$,10/11/2021
