,Title_job,Job_link,Company_link,Address,Salary,date
0,"Jr. Mobile Developer (Swift, Kotlin)",/it-jobs/jr-mobile-developer-swift-kotlin-go2joy-2312,/companies/go2joy,Ho Chi Minh,You'll love it,08/17/2021
1,3 .net core developers,/it-jobs/3-net-core-developers-hdwebsoft-5446,/companies/hdwebsoft,Ho Chi Minh,You'll love it,08/17/2021
2,Omni-channel Technical leader,/it-jobs/omni-channel-technical-leader-central-retail-0740,/companies/central-retail,Ho Chi Minh,"1,500 - 3,000 USD",08/17/2021
3,Senior System Engineer,/it-jobs/senior-system-engineer-orient-software-development-corp-0616,/companies/orient-software-development-corp,Da Nang,You'll love it,08/17/2021
4,"(Senior) .NET Developer (.NET Core, C#)",/it-jobs/senior-net-developer-net-core-c-titan-technology-corporation-2712,/companies/titan-technology-corporation,Ho Chi Minh,You'll love it,08/17/2021
5,Product Business Analyst,/it-jobs/product-business-analyst-propzy-1326,/companies/propzy,Ho Chi Minh,"1,300 - 2,200 USD",08/17/2021
6,(All Levels) Java Developer – Up to $2k,/it-jobs/java-developer-all-levels-up-to-2k-tps-software-2507,/companies/tps-software,Ho Chi Minh,You'll love it,08/17/2021
7,Junior-Mid UX Researcher,/it-jobs/mid-ux-researcher-seal-commerce-4043,/companies/seal-commerce,Ho Chi Minh,"600 - 1,000 USD",08/17/2021
8,"Remote Sr. Fullstack (Javascript, Ruby) ",/it-jobs/remote-sr-fullstack-javascript-ruby-employment-hero-3010,/companies/employment-hero,Ha Noi,"3,000 - 4,000 USD",08/17/2021
9,"Frontend Devs (ReactJS, JavaScrips, CSS)",/it-jobs/frontend-devs-reactjs-javascrips-css-vieted-cty-cp-cong-nghe-giao-duc-thong-minh-5419,/companies/vieted-cty-cp-cong-nghe-giao-duc-thong-minh,Others,11 triệu - 27 triệu,08/17/2021
10,"Automation Tester (Selenium, Appium)",/it-jobs/automation-tester-selenium-appium-pizza-hut-digital-ventures-5144,/companies/pizza-hut-digital-ventures,Ho Chi Minh,Attractive salary,08/17/2021
