,Title_job,Job_link,Company_link,Address,Salary,date
0,Senior NodeJS Developer (Backend),/it-jobs/senior-nodejs-developer-backend-ipfs-2239,/companies/ipfs,Ho Chi Minh,"1,700 - 2,500 USD",08/18/2021
1,Senior/Lead Data Engineer,/it-jobs/senior-lead-data-engineer-m_service-momo-4547,/companies/m_service-momo,Ho Chi Minh,Up to $3000,08/18/2021
2,"Product Owner (Agile, English)",/it-jobs/product-owner-agile-english-fortna-vietnam-5014,/companies/fortna-vietnam,Ha Noi,You'll love it,08/18/2021
3,Python / Odoo Developer (PostgreSQL) ,/it-jobs/python-odoo-developer-postgresql-nissho-electronics-3728,/companies/nissho-electronics,Ha Noi,"700 - 1,500 USD",08/18/2021
4,"Data Scientist (Python, SQL)",/it-jobs/data-scientist-python-sql-nissho-electronics-3339,/companies/nissho-electronics,Ha Noi,18m - 35m,08/18/2021
5,"Tech Lead (ReactJS, NodeJS, English)",/it-jobs/tech-lead-reactjs-nodejs-team-leader-seta-international-vietnam-4819,/companies/seta-international-vietnam,Ha Noi,Min 2000$,08/18/2021
6,Quality Assurance Process Manager QA QC,/it-jobs/quality-assurance-process-manager-cmc-global-4046,/companies/cmc-global,Ha Noi,Very attractive!!!,08/18/2021
7,Senior Frontend Engineer (VueJS / ReactJ,/it-jobs/senior-frontend-engineer-vuejs-reactj-line-vietnam-4011,/companies/line-vietnam-2,Ho Chi Minh,You'll love it,08/18/2021
8,"Database Administrator (MySQL,Cloud SQL)",/it-jobs/database-administrator-mysql-cloud-sql-shopee-5601,/companies/shopee,Ho Chi Minh,1500 usd++,08/18/2021
9,Sr Fullstack Developer (ReactJS/NodeJS),/it-jobs/sr-fullstack-developer-reactjs-nodejs-dfo-global-performance-commerce-3059,/companies/dfo-global-performance-commerce,Ho Chi Minh,"1,500 - 3,000 USD",08/18/2021
10,Senior Games Dev (Unity),/it-jobs/senior-games-dev-unity-c-java-skylink-group-0923,/companies/skylink-group,Ho Chi Minh,"1,000 - 2,000 USD",08/18/2021
